set_id,IMAGE_VERSION_1,IMAGE_VERSION_2,IMAGE_VERSION_3,year,season,product_type,category
1,https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_6_1_1.jpg?ts=1710489196217,https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_6_2_1.jpg?ts=1710489196510,https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_3_1_1.jpg?ts=1710489197564,2024,V,0,2
2,https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_6_1_1.jpg?ts=1706778286656,https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_6_2_1.jpg?ts=1706778287492,https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_3_1_1.jpg?ts=1706778286615,2024,V,0,2
3,https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_6_1_1.jpg?ts=1708614924346,https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_6_2_1.jpg?ts=1708614924551,https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_3_1_1.jpg?ts=1708614926555,2024,V,0,2
4,https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/202/w/2400/1501401250_6_1_1.jpg?ts=1701183997273,https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/202/w/2400/1501401250_6_2_1.jpg?ts=1701183997241,https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/2400/1501401250_3_1_1.jpg?ts=1701183927096,2024,V,0,2
5,https://static.zara.net/photos///2024/V/0/2/p/0679/416/251/2/w/2048/0679416251_6_1_1.jpg?ts=1714473878015,https://static.zara.net/photos///2024/V/0/2/p/0679/416/251/2/w/2048/0679416251_6_2_1.jpg?ts=1714473877883,https://static.zara.net/photos///2024/V/0/2/p/0679/416/251/2/w/2048/0679416251_3_1_1.jpg?ts=1714473877592,2024,V,0,2
6,https://static.zara.net/photos///2024/V/0/2/p/4285/498/401/2/w/2048/4285498401_6_1_1.jpg?ts=1706805340381,https://static.zara.net/photos///2024/V/0/2/p/4285/498/401/2/w/2048/4285498401_6_2_1.jpg?ts=1706805340401,https://static.zara.net/photos///2024/V/0/2/p/4285/498/401/2/w/2048/4285498401_3_1_1.jpg?ts=1706805340629,2024,V,0,2
7,https://static.zara.net/photos///2024/V/0/2/p/2241/405/500/2/w/2048/2241405500_6_1_1.jpg?ts=1712241669861,https://static.zara.net/photos///2024/V/0/2/p/2241/405/500/2/w/2048/2241405500_6_2_1.jpg?ts=1712241669371,https://static.zara.net/photos///2024/V/0/2/p/2241/405/500/2/w/2048/2241405500_3_1_1.jpg?ts=1712241670028,2024,V,0,2
8,https://static.zara.net/photos///2024/W/0/2/p/7545/534/021/2/w/2048/7545534021_6_1_1.jpg?ts=1704963620004,https://static.zara.net/photos///2024/W/0/2/p/7545/534/021/2/w/2048/7545534021_6_2_1.jpg?ts=1704963620252,https://static.zara.net/photos///2023/I/0/2/p/7545/534/021/2/w/2048/7545534021_3_1_1.jpg?ts=1691047050961,2024,W,0,2
9,https://static.zara.net/photos///2024/V/0/2/p/1942/402/505/2/w/2048/1942402505_6_1_1.jpg?ts=1701430657535,https://static.zara.net/photos///2024/V/0/2/p/1942/402/505/2/w/2048/1942402505_6_2_1.jpg?ts=1701430657675,https://static.zara.net/photos///2024/V/0/2/p/1942/402/505/2/w/2048/1942402505_3_1_1.jpg?ts=1701430656987,2024,V,0,2
10,https://static.zara.net/photos///2024/W/1/2/p/2008/220/800/2/w/2048/2008220800_6_1_1.jpg?ts=1709805868861,https://static.zara.net/photos///2024/W/1/2/p/2008/220/800/2/w/2048/2008220800_6_2_1.jpg?ts=1709805869000,https://static.zara.net/photos///2024/W/1/2/p/2008/220/800/2/w/2048/2008220800_3_1_1.jpg?ts=1709805870520,2024,W,1,2
11,https://static.zara.net/photos///2024/V/0/2/p/0840/402/427/2/w/2048/0840402427_6_1_1.jpg?ts=1706119010478,https://static.zara.net/photos///2024/V/0/2/p/0840/402/427/2/w/2048/0840402427_6_2_1.jpg?ts=1706119010837,https://static.zara.net/photos///2024/V/0/2/p/0840/402/427/2/w/1402/0840402427_3_1_1.jpg?ts=1706119010805,2024,V,0,2
12,https://static.zara.net/photos///2024/V/0/2/p/1063/406/251/2/w/2048/1063406251_6_1_1.jpg?ts=1708074139445,https://static.zara.net/photos///2024/V/0/2/p/1063/406/251/2/w/2048/1063406251_6_2_1.jpg?ts=1708074139440,https://static.zara.net/photos///2024/V/0/2/p/1063/406/251/2/w/2048/1063406251_3_1_1.jpg?ts=1708074139439,2024,V,0,2
13,https://static.zara.net/photos///2024/V/1/2/p/2283/320/001/2/w/2048/2283320001_6_1_1.jpg?ts=1707984984760,https://static.zara.net/photos///2024/V/1/2/p/2283/320/001/2/w/2048/2283320001_6_2_1.jpg?ts=1707984984847,https://static.zara.net/photos///2024/V/1/2/p/2283/320/001/2/w/2048/2283320001_3_1_1.jpg?ts=1707984984653,2024,V,1,2
14,https://static.zara.net/photos///2024/V/0/2/p/0775/401/555/2/w/2048/0775401555_6_1_1.jpg?ts=1699958327454,https://static.zara.net/photos///2024/V/0/2/p/0775/401/555/2/w/2048/0775401555_6_2_1.jpg?ts=1699958327474,https://static.zara.net/photos///2024/V/0/2/p/0775/401/555/2/w/2048/0775401555_3_1_1.jpg?ts=1699958328141,2024,V,0,2
15,https://static.zara.net/photos///2023/I/1/2/p/2042/220/800/2/w/2048/2042220800_6_1_1.jpg?ts=1694610291879,https://static.zara.net/photos///2023/I/1/2/p/2042/220/800/2/w/2048/2042220800_6_2_1.jpg?ts=1694610291898,https://static.zara.net/photos///2023/I/1/2/p/2042/220/800/2/w/2048/2042220800_3_1_1.jpg?ts=1694610291908,2023,I,1,2
16,https://static.zara.net/photos///2024/V/0/2/p/4080/017/802/2/w/4000/4080017802_6_1_1.jpg?ts=1701098484553,https://static.zara.net/photos///2024/V/0/2/p/4080/017/802/2/w/2048/4080017802_6_2_1.jpg?ts=1701098483345,https://static.zara.net/photos///2024/V/0/2/p/4080/017/802/2/w/4000/4080017802_3_1_1.jpg?ts=1701098484553,2024,V,0,2
17,https://static.zara.net/photos///2024/V/0/2/p/0679/402/250/2/w/2048/0679402250_6_1_1.jpg?ts=1704357326219,https://static.zara.net/photos///2024/V/0/2/p/0679/402/250/2/w/2048/0679402250_6_2_1.jpg?ts=1704357326242,https://static.zara.net/photos///2024/V/0/2/p/0679/402/250/2/w/2048/0679402250_3_1_1.jpg?ts=1704357326556,2024,V,0,2
18,https://static.zara.net/photos///2024/W/1/2/p/2655/220/500/2/w/2048/2655220500_6_1_1.jpg?ts=1709542014231,https://static.zara.net/photos///2024/W/1/2/p/2655/220/500/2/w/2048/2655220500_6_2_1.jpg?ts=1709542014138,https://static.zara.net/photos///2023/S/1/2/p/2655/220/500/2/w/2048/2655220500_3_1_1.jpg?ts=1697192664475,2024,W,1,2
19,https://static.zara.net/photos///2023/I/0/2/p/3332/300/712/2/w/2048/3332300712_6_1_1.jpg?ts=1690196395378,https://static.zara.net/photos///2023/I/0/2/p/3332/300/712/2/w/2048/3332300712_6_2_1.jpg?ts=1690196395544,https://static.zara.net/photos///2023/I/0/2/p/3332/300/712/2/w/2048/3332300712_3_1_1.jpg?ts=1690196399411,2023,I,0,2
20,https://static.zara.net/photos///2024/V/0/2/p/5372/400/819/2/w/2048/5372400819_6_1_1.jpg?ts=1707295791049,https://static.zara.net/photos///2024/V/0/2/p/5372/400/819/2/w/2048/5372400819_6_2_1.jpg?ts=1707295790461,https://static.zara.net/photos///2024/V/0/2/p/5372/400/819/2/w/2048/5372400819_3_1_1.jpg?ts=1707295794247,2024,V,0,2
21,https://static.zara.net/photos///2024/V/0/2/p/9065/416/711/2/w/2048/9065416711_6_1_1.jpg?ts=1712131610610,https://static.zara.net/photos///2024/V/0/2/p/9065/416/711/2/w/2048/9065416711_6_2_1.jpg?ts=1712131611069,https://static.zara.net/photos///2024/V/0/2/p/9065/416/711/2/w/2048/9065416711_3_1_1.jpg?ts=1712131610801,2024,V,0,2
22,https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/2048/4302305800_6_1_1.jpg?ts=1703838861782,https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/2048/4302305800_6_2_1.jpg?ts=1703838861699,https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/2048/4302305800_3_1_1.jpg?ts=1703838861751https://static.zara.net/photos///2024/V/0/2/p/4231/450/676/2/w/2400/4231450676_3_1_1.jpg?ts=1707387434979,2024,V,0,2
23,https://static.zara.net/photos///2024/V/1/2/p/3620/320/800/2/w/2048/3620320800_6_1_1.jpg?ts=1706801186047,https://static.zara.net/photos///2024/V/1/2/p/3620/320/800/2/w/2048/3620320800_6_2_1.jpg?ts=1706801186453,https://static.zara.net/photos///2024/V/1/2/p/3620/320/800/2/w/2048/3620320800_3_1_1.jpg?ts=1706801185860,2024,V,1,2
24,https://static.zara.net/photos///2024/V/0/2/p/1166/400/800/2/w/2048/1166400800_6_1_1.jpg?ts=1702544646432,https://static.zara.net/photos///2024/V/0/2/p/1166/400/800/2/w/2048/1166400800_6_2_1.jpg?ts=1702544646342,https://static.zara.net/photos///2024/V/0/2/p/1166/400/800/2/w/2048/1166400800_3_1_1.jpg?ts=1702544646338,2024,V,0,2
25,https://static.zara.net/photos///2024/V/0/2/p/6786/787/526/2/w/2048/6786787526_6_1_1.jpg?ts=1712830200823,https://static.zara.net/photos///2024/V/0/2/p/6786/787/526/2/w/2048/6786787526_6_2_1.jpg?ts=1712830200968,https://static.zara.net/photos///2024/V/0/2/p/6786/787/526/2/w/2048/6786787526_3_1_1.jpg?ts=1712830201615,2024,V,0,2
